starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 25 00:43:21 2022	1656143001	0	59	59	51
Sat Jun 25 00:43:21 2022	1656143001	3	79	82	78
Sat Jun 25 00:43:21 2022	1656143001	4	83	87	82
Sat Jun 25 00:43:21 2022	1656143001	3	277	280	84
Sat Jun 25 00:43:21 2022	1656143001	4	412	415	411
Sat Jun 25 00:43:21 2022	1656143001	3	471	473	470
Sat Jun 25 00:43:21 2022	1656143001	4	506	509	505
Sat Jun 25 00:43:21 2022	1656143001	4	540	544	540
Sat Jun 25 00:43:21 2022	1656143001	2	646	649	646
Sat Jun 25 00:43:21 2022	1656143001	4	695	699	694
Sat Jun 25 00:43:21 2022	1656143001	3	711	714	710
Sat Jun 25 00:43:21 2022	1656143001	4	717	721	717
Sat Jun 25 00:43:21 2022	1656143001	3	732	735	732
Sat Jun 25 00:43:21 2022	1656143001	3	740	743	739
Sat Jun 25 00:43:21 2022	1656143001	4	762	766	762
Sat Jun 25 00:43:21 2022	1656143001	3	767	770	766
Sat Jun 25 00:43:21 2022	1656143001	3	811	815	811
Sat Jun 25 00:43:21 2022	1656143001	4	820	824	819
Sat Jun 25 00:43:21 2022	1656143001	3	821	824	818
Sat Jun 25 00:43:21 2022	1656143001	3	822	825	822
Sat Jun 25 00:43:21 2022	1656143001	3	858	862	858
Sat Jun 25 00:43:21 2022	1656143001	4	903	906	902
Sat Jun 25 00:43:21 2022	1656143001	4	932	936	932
Sat Jun 25 00:43:21 2022	1656143001	4	934	938	872
Sat Jun 25 00:43:21 2022	1656143001	4	935	939	934
Sat Jun 25 00:43:21 2022	1656143001	3	943	946	942
Sat Jun 25 00:43:21 2022	1656143001	3	946	950	945
Sat Jun 25 00:43:21 2022	1656143001	3	969	972	968
Sat Jun 25 00:43:21 2022	1656143001	3	979	982	978
Sat Jun 25 00:43:21 2022	1656143001	4	989	993	876
Sat Jun 25 00:43:21 2022	1656143001	4	1009	1013	878
Sat Jun 25 00:43:21 2022	1656143001	4	1036	1040	1036
Sat Jun 25 00:43:21 2022	1656143001	3	1046	1049	1040
Sat Jun 25 00:43:21 2022	1656143001	3	1046	1050	1045
Sat Jun 25 00:43:21 2022	1656143001	3	1050	1053	1049
Sat Jun 25 00:43:21 2022	1656143001	3	1060	1063	1059
Sat Jun 25 00:43:21 2022	1656143001	3	1069	1072	1068
Sat Jun 25 00:43:21 2022	1656143001	4	1073	1077	1014
Sat Jun 25 00:43:21 2022	1656143001	3	1076	1080	1075
Sat Jun 25 00:43:21 2022	1656143001	3	1081	1084	1075
Sat Jun 25 00:43:21 2022	1656143001	3	1128	1131	1127
Sat Jun 25 00:43:21 2022	1656143001	4	1158	1162	1158
